Ensembl Gene ID	Description	Associated Gene Name
ENSG00000232708	major histocompatibility complex, class I, K (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4969]	HLA-K
ENSG00000198791	CCR4-NOT transcription complex, subunit 7 [Source:HGNC Symbol;Acc:HGNC:14101]	CNOT7
ENSG00000233167	eukaryotic translation elongation factor 1 alpha 1 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:37899]	EEF1A1P26
ENSG00000257950	P2RX5-TAX1BP3 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49191]	P2RX5-TAX1BP3
ENSG00000231231	long intergenic non-protein coding RNA 1423 [Source:HGNC Symbol;Acc:HGNC:50732]	LINC01423
ENSG00000232777	mitochondrial ribosomal protein L51 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:29724]	MRPL51P2
ENSG00000180182	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]	MED14
ENSG00000214434	nucleolar protein interacting with the FHA domain of MKI67 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44949]	NIFKP1
ENSG00000274920	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1 [Source:HGNC Symbol;Acc:HGNC:6338]	KIR3DL1
ENSG00000274788	leukocyte immunoglobulin-like receptor pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:15497]	LILRP2
ENSG00000101350	kinesin family member 3B [Source:HGNC Symbol;Acc:HGNC:6320]	KIF3B
ENSG00000004961	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	HCCS
ENSG00000264301	long intergenic non-protein coding RNA 1444 [Source:HGNC Symbol;Acc:HGNC:50769]	LINC01444
ENSG00000274394	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3 [Source:HGNC Symbol;Acc:HGNC:16312]	KIR3DL3
ENSG00000232263	keratin associated protein 25-1 [Source:HGNC Symbol;Acc:HGNC:34003]	KRTAP25-1
ENSG00000261206	long intergenic non-protein coding RNA 561 [Source:HGNC Symbol;Acc:HGNC:43705]	LINC00561
ENSG00000132205	elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]	EMILIN2
ENSG00000167311	ADP-ribosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:24049]	ART5
ENSG00000198798	melanoma antigen family B, 3 [Source:HGNC Symbol;Acc:HGNC:6810]	MAGEB3
ENSG00000144550	copine family member IX [Source:HGNC Symbol;Acc:HGNC:24336]	CPNE9
ENSG00000171867	prion protein [Source:HGNC Symbol;Acc:HGNC:9449]	PRNP
ENSG00000157399	arylsulfatase E (chondrodysplasia punctata 1) [Source:HGNC Symbol;Acc:HGNC:719]	ARSE
ENSG00000005001	protease, serine, 22 [Source:HGNC Symbol;Acc:HGNC:14368]	PRSS22
ENSG00000232106	chromosome 6 open reading frame 10 [Source:HGNC Symbol;Acc:HGNC:13922]	C6orf10
ENSG00000253451	immunoglobulin lambda variable 2-28 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5891]	IGLV2-28
ENSG00000078142	phosphatidylinositol 3-kinase, catalytic subunit type 3 [Source:HGNC Symbol;Acc:HGNC:8974]	PIK3C3
ENSG00000275463	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2 [Source:HGNC Symbol;Acc:HGNC:6606]	LILRB2
ENSG00000197183	nucleolar protein 4-like [Source:HGNC Symbol;Acc:HGNC:16106]	NOL4L
ENSG00000230088	keratin 16 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37810]	KRT16P5
ENSG00000241950	ribosomal protein L29 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:35946]	RPL29P23
ENSG00000212127	taste receptor, type 2, member 14 [Source:HGNC Symbol;Acc:HGNC:14920]	TAS2R14
ENSG00000231649	SPATA31 subfamily B, member 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:31411]	SPATA31B1P
ENSG00000050344	nuclear factor, erythroid 2-like 3 [Source:HGNC Symbol;Acc:HGNC:7783]	NFE2L3
ENSG00000105088	olfactomedin 2 [Source:HGNC Symbol;Acc:HGNC:17189]	OLFM2
ENSG00000256844	MEF2B neighbor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49883]	MEF2BNBP1
ENSG00000113494	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]	PRLR
ENSG00000244099	ribosomal protein S23 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:35499]	RPS23P3
ENSG00000185264	testis expressed 33 [Source:HGNC Symbol;Acc:HGNC:28568]	TEX33
ENSG00000184571	piwi-like RNA-mediated gene silencing 3 [Source:HGNC Symbol;Acc:HGNC:18443]	PIWIL3
ENSG00000258537	FRMD6 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:43637]	FRMD6-AS2
ENSG00000162078	zymogen granule protein 16B [Source:HGNC Symbol;Acc:HGNC:30456]	ZG16B
ENSG00000214688	chromosome 10 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:20304]	C10orf105
ENSG00000134873	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]	CLDN10
ENSG00000204287	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	HLA-DRA
ENSG00000215641	tripartite motif containing 27 [Source:HGNC Symbol;Acc:HGNC:9975]	TRIM27
ENSG00000204252	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	HLA-DOA
ENSG00000107140	testis-specific kinase 1 [Source:HGNC Symbol;Acc:HGNC:11731]	TESK1
ENSG00000241476	synovial sarcoma, X breakpoint 2 [Source:HGNC Symbol;Acc:HGNC:11336]	SSX2
ENSG00000224920	transforming, acidic coiled-coil containing protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44974]	TACC1P1
ENSG00000119396	RAB14, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16524]	RAB14
ENSG00000198258	ubiquitin-like 5 [Source:HGNC Symbol;Acc:HGNC:13736]	UBL5
ENSG00000233309	ribosomal protein S6 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:36375]	RPS6P12
ENSG00000236824	brain cytoplasmic RNA 1 [Source:HGNC Symbol;Acc:HGNC:1022]	BCYRN1
ENSG00000234096	myelin oligodendrocyte glycoprotein [Source:HGNC Symbol;Acc:HGNC:7197]	MOG
ENSG00000094841	uracil phosphoribosyltransferase (FUR1) homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:28334]	UPRT
ENSG00000229069	olfactory receptor, family 2, subfamily J, member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:8262]	OR2J4P
ENSG00000116497	S100P binding protein [Source:HGNC Symbol;Acc:HGNC:25768]	S100PBP
ENSG00000118965	WD repeat domain 35 [Source:HGNC Symbol;Acc:HGNC:29250]	WDR35
ENSG00000239345	heterogeneous nuclear ribonucleoprotein A1 pseudogene 26 [Source:HGNC Symbol;Acc:HGNC:39544]	HNRNPA1P26
ENSG00000002016	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:9824]	RAD52
ENSG00000226896	olfactory receptor, family 2, subfamily I, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8258]	OR2I1P
ENSG00000215353	complement component 1, q subcomponent binding protein, pseudogene [Source:HGNC Symbol;Acc:HGNC:1244]	C1QBPP
ENSG00000221869	CCAAT/enhancer binding protein (C/EBP), delta [Source:HGNC Symbol;Acc:HGNC:1835]	CEBPD
ENSG00000196166	chromosome 8 open reading frame 86 [Source:HGNC Symbol;Acc:HGNC:33774]	C8orf86
ENSG00000084092	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]	NOA1
ENSG00000172850	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:13940]	LSM2
ENSG00000226887	endogenous retrovirus group MER34, member 1 [Source:HGNC Symbol;Acc:HGNC:42970]	ERVMER34-1
ENSG00000125285	SRY (sex determining region Y)-box 21 [Source:HGNC Symbol;Acc:HGNC:11197]	SOX21
ENSG00000276172	engulfment and cell motility 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38008]	ELMO2P1
ENSG00000226144	ribosomal protein S27a pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:16538]	RPS27AP3
ENSG00000254995	STX16-NPEPL1 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:41993]	STX16-NPEPL1
ENSG00000104218	centrosome and spindle pole associated protein 1 [Source:HGNC Symbol;Acc:HGNC:26193]	CSPP1
ENSG00000251078	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:35468]	SLC25A5P9
ENSG00000254723	olfactory receptor, family 4, subfamily A, member 12 pseudogene [Source:HGNC Symbol;Acc:HGNC:15149]	OR4A12P
ENSG00000162385	mago-nashi homolog, proliferation-associated (Drosophila) [Source:HGNC Symbol;Acc:HGNC:6815]	MAGOH
ENSG00000273173	SNRPN upstream reading frame [Source:HGNC Symbol;Acc:HGNC:11171]	SNURF
ENSG00000078902	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	TOLLIP
ENSG00000111701	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:604]	APOBEC1
ENSG00000227182	vomeronasal 1 receptor 28 pseudogene [Source:HGNC Symbol;Acc:HGNC:37348]	VN1R28P
ENSG00000206560	ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024]	ANKRD28
ENSG00000227547	olfactory receptor, family 4, subfamily A, member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15159]	OR4A2P
ENSG00000232605	high mobility group nucleosomal binding domain 2 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:4990]	HMGN2P11
ENSG00000223817	CDH23 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:31433]	CDH23-AS1
ENSG00000168263	potassium channel, subfamily V, member 2 [Source:HGNC Symbol;Acc:HGNC:19698]	KCNV2
ENSG00000243449	chromosome 4 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:34437]	C4orf48
ENSG00000133328	HRAS-like suppressor 2 [Source:HGNC Symbol;Acc:HGNC:17824]	HRASLS2
ENSG00000234489	aldehyde dehydrogenase 7 family, member A1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:881]	ALDH7A1P4
ENSG00000165424	zinc finger, CCHC domain containing 24 [Source:HGNC Symbol;Acc:HGNC:26911]	ZCCHC24
ENSG00000227067	developmental pluripotency associated 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32345]	DPPA3P1
ENSG00000233499	olfactory receptor, family 5, subfamily B, member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8322]	OR5B1P
ENSG00000151632	aldo-keto reductase family 1, member C2 [Source:HGNC Symbol;Acc:HGNC:385]	AKR1C2
ENSG00000029364	solute carrier family 39, member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	SLC39A9
ENSG00000170448	nuclear transcription factor, X-box binding-like 1 [Source:HGNC Symbol;Acc:HGNC:18726]	NFXL1
ENSG00000205213	leucine-rich repeat containing G protein-coupled receptor 4 [Source:HGNC Symbol;Acc:HGNC:13299]	LGR4
ENSG00000243444	paralemmin 2 [Source:HGNC Symbol;Acc:HGNC:15845]	PALM2
ENSG00000023734	serine/threonine kinase receptor associated protein [Source:HGNC Symbol;Acc:HGNC:30796]	STRAP
ENSG00000101311	fermitin family member 1 [Source:HGNC Symbol;Acc:HGNC:15889]	FERMT1
ENSG00000266786	lectin, galactoside-binding, soluble, 9D, pseudogene [Source:HGNC Symbol;Acc:HGNC:49896]	LGALS9DP
ENSG00000165684	small nuclear RNA activating complex, polypeptide 4, 190kDa [Source:HGNC Symbol;Acc:HGNC:11137]	SNAPC4
ENSG00000259728	long intergenic non-protein coding RNA 933 [Source:HGNC Symbol;Acc:HGNC:48625]	LINC00933
ENSG00000167114	solute carrier family 27 (fatty acid transporter), member 4 [Source:HGNC Symbol;Acc:HGNC:10998]	SLC27A4
ENSG00000267178	PHD finger protein 5C pseudogene [Source:HGNC Symbol;Acc:HGNC:32385]	PHF5CP
ENSG00000011523	centrosomal protein 68kDa [Source:HGNC Symbol;Acc:HGNC:29076]	CEP68
ENSG00000173914	RNA binding motif protein 4B [Source:HGNC Symbol;Acc:HGNC:28842]	RBM4B
ENSG00000083642	PDS5, regulator of cohesion maintenance, homolog B (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:20418]	PDS5B
ENSG00000235203	TBC1 domain family, member 3 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:32408]	TBC1D3P3
ENSG00000177047	interferon, omega 1 [Source:HGNC Symbol;Acc:HGNC:5448]	IFNW1
ENSG00000188782	cation channel, sperm associated 4 [Source:HGNC Symbol;Acc:HGNC:23220]	CATSPER4
ENSG00000151338	mirror-image polydactyly 1 [Source:HGNC Symbol;Acc:HGNC:21460]	MIPOL1
ENSG00000226517	HLA complex group 4 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:22926]	HCG4P7
ENSG00000226247	SUPT4H1 pseudogene [Source:HGNC Symbol;Acc:HGNC:33981]	SUPT4H1P
ENSG00000186994	KN motif and ankyrin repeat domains 3 [Source:HGNC Symbol;Acc:HGNC:24796]	KANK3
ENSG00000247624	CPEB2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:49082]	CPEB2-AS1
ENSG00000172315	TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197]	TP53RK
ENSG00000217929	capicua transcriptional repressor pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:48828]	CICP18
ENSG00000227729	retinal degeneration 3-like [Source:HGNC Symbol;Acc:HGNC:40912]	RD3L
ENSG00000249188	ectonucleotide pyrophosphatase/phosphodiesterase 7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:48699]	ENPP7P1
ENSG00000263232	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:829]	ATP5A1P3
ENSG00000150636	coiled-coil domain containing 102B [Source:HGNC Symbol;Acc:HGNC:26295]	CCDC102B
ENSG00000083454	purinergic receptor P2X, ligand-gated ion channel, 5 [Source:HGNC Symbol;Acc:HGNC:8536]	P2RX5
ENSG00000158526	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:25455]	TSR2
ENSG00000099998	gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260]	GGT5
ENSG00000087250	metallothionein 3 [Source:HGNC Symbol;Acc:HGNC:7408]	MT3
ENSG00000229068	thymopoietin pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21364]	TMPOP1
ENSG00000269055	BCL2/adenovirus E1B 19kDa interacting protein 3 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:49698]	BNIP3P18
ENSG00000134070	interleukin-1 receptor-associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	IRAK2
ENSG00000105717	pre-B-cell leukemia homeobox 4 [Source:HGNC Symbol;Acc:HGNC:13403]	PBX4
ENSG00000111726	cytidine monophosphate N-acetylneuraminic acid synthetase [Source:HGNC Symbol;Acc:HGNC:18290]	CMAS
ENSG00000213463	synaptojanin 2 binding protein [Source:HGNC Symbol;Acc:HGNC:18955]	SYNJ2BP
ENSG00000015153	YY1 associated factor 2 [Source:HGNC Symbol;Acc:HGNC:17363]	YAF2
ENSG00000270716	BCL2/adenovirus E1B 19kDa interacting protein 3 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:49695]	BNIP3P15
ENSG00000164086	dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]	DUSP7
ENSG00000180139	ACTA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45169]	ACTA2-AS1
ENSG00000225422	RNA binding motif, single stranded interacting protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9908]	RBMS1P1
ENSG00000101333	phospholipase C, beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]	PLCB4
ENSG00000140675	solute carrier family 5 (sodium/glucose cotransporter), member 2 [Source:HGNC Symbol;Acc:HGNC:11037]	SLC5A2
ENSG00000231526	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	HLA-DQA2
ENSG00000182179	ubiquitin-like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	UBA7
ENSG00000184108	tripartite motif family-like 1 [Source:HGNC Symbol;Acc:HGNC:26698]	TRIML1
ENSG00000255379	cytochrome c, somatic pseudogene 29 [Source:HGNC Symbol;Acc:HGNC:24403]	CYCSP29
ENSG00000255444	cytochrome c, somatic pseudogene 27 [Source:HGNC Symbol;Acc:HGNC:24401]	CYCSP27
ENSG00000199492	RNA, U6 small nuclear 1313, pseudogene [Source:HGNC Symbol;Acc:HGNC:48276]	RNU6-1313P
ENSG00000273613	microRNA 6511a-2 [Source:HGNC Symbol;Acc:HGNC:50150]	MIR6511A2
ENSG00000186766	forkhead box I2 [Source:HGNC Symbol;Acc:HGNC:32448]	FOXI2
ENSG00000266354	microRNA 4776-2 [Source:HGNC Symbol;Acc:HGNC:41631]	MIR4776-2
ENSG00000134987	WD repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:30696]	WDR36
ENSG00000262180	oculomedin [Source:HGNC Symbol;Acc:HGNC:8103]	OCLM
ENSG00000213740	SERPINE1 mRNA binding protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:32247]	SERBP1P1
ENSG00000200661	small nucleolar RNA, C/D box 116-10 [Source:HGNC Symbol;Acc:HGNC:33076]	SNORD116-10
ENSG00000213137	ADP-ribosylation factor 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39883]	ARF1P2
ENSG00000112053	solute carrier family 26 (anion exchanger), member 8 [Source:HGNC Symbol;Acc:HGNC:14468]	SLC26A8
ENSG00000266617	microRNA 3692 [Source:HGNC Symbol;Acc:HGNC:38885]	MIR3692
ENSG00000152443	zinc finger protein 776 [Source:HGNC Symbol;Acc:HGNC:26765]	ZNF776
ENSG00000252498	RNA, U6 small nuclear 1016, pseudogene [Source:HGNC Symbol;Acc:HGNC:47979]	RNU6-1016P
ENSG00000244451	ribosomal protein L34 pseudogene 21 [Source:HGNC Symbol;Acc:HGNC:35677]	RPL34P21
ENSG00000091262	ATP-binding cassette, sub-family C (CFTR/MRP), member 6 [Source:HGNC Symbol;Acc:HGNC:57]	ABCC6
ENSG00000264092	RNA, 7SL, cytoplasmic 474, pseudogene [Source:HGNC Symbol;Acc:HGNC:46490]	RN7SL474P
ENSG00000107518	attractin-like 1 [Source:HGNC Symbol;Acc:HGNC:29063]	ATRNL1
ENSG00000221176	microRNA 1207 [Source:HGNC Symbol;Acc:HGNC:35273]	MIR1207
ENSG00000105229	protein inhibitor of activated STAT, 4 [Source:HGNC Symbol;Acc:HGNC:17002]	PIAS4
ENSG00000083123	branched chain keto acid dehydrogenase E1, beta polypeptide [Source:HGNC Symbol;Acc:HGNC:987]	BCKDHB
ENSG00000115263	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	GCG
ENSG00000206281	TAP binding protein (tapasin) [Source:HGNC Symbol;Acc:HGNC:11566]	TAPBP
ENSG00000203857	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5217]	HSD3B1
ENSG00000243115	RNA, 7SL, cytoplasmic 849, pseudogene [Source:HGNC Symbol;Acc:HGNC:46865]	RN7SL849P
ENSG00000207693	microRNA 602 [Source:HGNC Symbol;Acc:HGNC:32858]	MIR602
ENSG00000252080	RNA, U7 small nuclear 99 pseudogene [Source:HGNC Symbol;Acc:HGNC:45633]	RNU7-99P
ENSG00000238073	RNA binding motif protein, Y-linked, family 2, member H pseudogene [Source:HGNC Symbol;Acc:HGNC:23893]	RBMY2HP
ENSG00000135677	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	GNS
ENSG00000162757	chromosome 1 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:26319]	C1orf74
ENSG00000266559	microRNA 4530 [Source:HGNC Symbol;Acc:HGNC:41764]	MIR4530
ENSG00000180096	septin 1 [Source:HGNC Symbol;Acc:HGNC:2879]	SEPT1
ENSG00000265829	microRNA 548ag-1 [Source:HGNC Symbol;Acc:HGNC:41625]	MIR548AG1
ENSG00000218052	ADAMTS7 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:49410]	ADAMTS7P4
ENSG00000242728	ubiquinol-cytochrome c reductase hinge protein pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:38047]	UQCRHP4
ENSG00000221616	microRNA 548h-4 [Source:HGNC Symbol;Acc:HGNC:35345]	MIR548H4
ENSG00000188582	progestin and adipoQ receptor family member IX [Source:HGNC Symbol;Acc:HGNC:30131]	PAQR9
ENSG00000264919	microRNA 4697 [Source:HGNC Symbol;Acc:HGNC:41570]	MIR4697
ENSG00000176102	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa [Source:HGNC Symbol;Acc:HGNC:2485]	CSTF3
ENSG00000023330	aminolevulinate, delta-, synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	ALAS1
ENSG00000270778	BUB1 mitotic checkpoint serine/threonine kinase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:49529]	BUB1P1
ENSG00000252342	RNA, 5S ribosomal pseudogene 164 [Source:HGNC Symbol;Acc:HGNC:43064]	RNA5SP164
ENSG00000252554	RNA, U6 small nuclear 861, pseudogene [Source:HGNC Symbol;Acc:HGNC:47824]	RNU6-861P
ENSG00000201532	RNA, 5S ribosomal pseudogene 194 [Source:HGNC Symbol;Acc:HGNC:43094]	RNA5SP194
ENSG00000276824	microRNA 7159 [Source:HGNC Symbol;Acc:HGNC:49978]	MIR7159
ENSG00000264505	microRNA 4534 [Source:HGNC Symbol;Acc:HGNC:41692]	MIR4534
ENSG00000221564	RNA, U6atac small nuclear 42, pseudogene [Source:HGNC Symbol;Acc:HGNC:46941]	RNU6ATAC42P
ENSG00000251741	RNA, U4atac small nuclear 13, pseudogene [Source:HGNC Symbol;Acc:HGNC:46899]	RNU4ATAC13P
ENSG00000273587	small nucleolar RNA, H/ACA box 78 [Source:HGNC Symbol;Acc:HGNC:32664]	SNORA78
ENSG00000173193	poly (ADP-ribose) polymerase family, member 14 [Source:HGNC Symbol;Acc:HGNC:29232]	PARP14
ENSG00000207443	RNA, U6 small nuclear 417, pseudogene [Source:HGNC Symbol;Acc:HGNC:47380]	RNU6-417P
ENSG00000151465	cell division cycle 123 [Source:HGNC Symbol;Acc:HGNC:16827]	CDC123
ENSG00000201436	RNA, U6 small nuclear 660, pseudogene [Source:HGNC Symbol;Acc:HGNC:47623]	RNU6-660P
ENSG00000207725	microRNA 222 [Source:HGNC Symbol;Acc:HGNC:31602]	MIR222
ENSG00000115364	mitochondrial ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:14052]	MRPL19
ENSG00000200473	RNA, 5S ribosomal pseudogene 507 [Source:HGNC Symbol;Acc:HGNC:43407]	RNA5SP507
ENSG00000199645	RNA, U6 small nuclear 1330, pseudogene [Source:HGNC Symbol;Acc:HGNC:48293]	RNU6-1330P
ENSG00000253952	HIG1 hypoxia inducible domain family, member 1A pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:43013]	HIGD1AP18
ENSG00000186462	nucleosome assembly protein 1-like 2 [Source:HGNC Symbol;Acc:HGNC:7638]	NAP1L2
ENSG00000251706	RNA, U7 small nuclear 61 pseudogene [Source:HGNC Symbol;Acc:HGNC:34157]	RNU7-61P
ENSG00000223087	RNA, U6 small nuclear 602, pseudogene [Source:HGNC Symbol;Acc:HGNC:47565]	RNU6-602P
ENSG00000240584	RNA, 7SL, cytoplasmic 547, pseudogene [Source:HGNC Symbol;Acc:HGNC:46563]	RN7SL547P
ENSG00000264873	microRNA 4646 [Source:HGNC Symbol;Acc:HGNC:41543]	MIR4646
ENSG00000203666	EF-hand calcium binding domain 2 [Source:HGNC Symbol;Acc:HGNC:28166]	EFCAB2
ENSG00000234927	high mobility group nucleosome binding domain 1 pseudogene 18 [Source:HGNC Symbol;Acc:HGNC:39362]	HMGN1P18
ENSG00000069956	mitogen-activated protein kinase 6 [Source:HGNC Symbol;Acc:HGNC:6879]	MAPK6
ENSG00000201377	RNA, Ro-associated Y4 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42473]	RNY4P23
ENSG00000273602	microRNA 6834 [Source:HGNC Symbol;Acc:HGNC:50108]	MIR6834
